time,x_diff,y_diff,z_diff,sum_diff,labels
2019-11-15 00:01:41,0.0,0.0,0.0,0.0,1
2019-11-15 00:01:44,0.0,0.0,0.0,0.0,1
2019-11-15 00:01:45,0.0,0.0,0.0,0.0,1
2019-11-15 00:01:47,0.0,0.0,0.0,0.0,1
2019-11-15 00:01:48,0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:01:50,0.0,0.0,0.01171875,0.01171875,0
2019-11-15 00:01:51,-0.0078125,0.0,-0.01171875,0.01953125,0
2019-11-15 00:01:52,0.0,0.0,0.0,0.0,1
2019-11-15 00:01:53,0.0,0.0,0.0,0.0,1
2019-11-15 00:01:54,0.0,0.0,0.0,0.0,1
2019-11-15 00:01:57,0.0,0.0,0.0,0.0,1
2019-11-15 00:01:58,0.0,0.0,0.0234375,0.0234375,0
2019-11-15 00:01:59,0.0,0.0,-0.0234375,0.0234375,0
2019-11-15 00:02:00,0.0,0.0,0.0,0.0,1
2019-11-15 00:02:02,0.0,0.0,0.01171875,0.01171875,0
2019-11-15 00:02:03,0.0,0.0,-0.01953125,0.01953125,0
2019-11-15 00:02:05,0.0,0.0,0.0078125,0.0078125,0
2019-11-15 00:02:06,0.0,0.0,0.0,0.0,1
2019-11-15 00:02:07,0.0,0.0,0.0,0.0,1
2019-11-15 00:02:09,0.0,0.0,0.0,0.0,1
2019-11-15 00:02:10,0.0,0.0,0.0,0.0,1
2019-11-15 00:02:11,0.0,0.0,0.0,0.0,1
2019-11-15 00:02:12,0.0,0.0,0.0,0.0,1
2019-11-15 00:02:13,0.0,0.0,0.0,0.0,1
2019-11-15 00:02:14,0.0,0.0,0.0,0.0,1
2019-11-15 00:02:16,0.0,0.0,0.0,0.0,1
2019-11-15 00:02:17,0.0,0.0,0.0,0.0,1
2019-11-15 00:02:18,0.0,0.0,0.0,0.0,1
2019-11-15 00:02:19,0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:02:20,0.0,0.0,-0.0078125,0.0078125,0
2019-11-15 00:02:22,-0.0078125,0.0,0.0078125,0.015625,0
2019-11-15 00:02:23,0.0,0.0,0.0,0.0,1
2019-11-15 00:02:24,0.0,0.0,0.0,0.0,1
2019-11-15 00:02:25,0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:02:26,-0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:02:27,0.0,0.0,-0.0078125,0.0078125,0
2019-11-15 00:02:28,0.0,0.0,0.0078125,0.0078125,0
2019-11-15 00:02:31,0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:02:32,-0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:02:33,0.0,0.0,0.0,0.0,1
2019-11-15 00:02:34,0.0,0.0,0.0,0.0,1
2019-11-15 00:02:35,0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:02:38,-0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:02:39,0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:02:42,-0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:02:45,0.0,0.0,0.0,0.0,1
2019-11-15 00:02:47,0.0,0.0,0.0,0.0,1
2019-11-15 00:02:48,0.0,0.0,0.0,0.0,1
2019-11-15 00:02:49,0.0,0.0,0.0,0.0,1
2019-11-15 00:02:50,0.0,0.0,0.0,0.0,1
2019-11-15 00:02:52,0.0,0.0,0.0,0.0,1
2019-11-15 00:02:53,0.0,0.0,0.0,0.0,1
2019-11-15 00:02:54,0.0,0.0,0.0,0.0,1
2019-11-15 00:02:55,0.0,0.0,0.0,0.0,1
2019-11-15 00:02:57,0.0,0.0,0.0,0.0,1
2019-11-15 00:02:59,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:00,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:03,0.0,0.0,0.01171875,0.01171875,0
2019-11-15 00:03:04,0.0078125,0.0,-0.01171875,0.01953125,0
2019-11-15 00:03:05,-0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:03:06,0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:03:08,-0.0078125,0.0,0.01171875,0.01953125,0
2019-11-15 00:03:11,0.0,0.0,-0.01171875,0.01171875,0
2019-11-15 00:03:13,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:14,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:15,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:16,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:17,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:18,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:20,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:22,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:23,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:25,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:29,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:30,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:31,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:32,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:33,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:34,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:36,0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:03:37,-0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:03:38,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:39,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:40,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:41,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:42,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:44,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:45,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:46,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:50,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:51,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:53,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:54,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:56,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:57,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:58,0.0,0.0,0.0,0.0,1
2019-11-15 00:03:59,0.0,0.0,0.0,0.0,1
2019-11-15 00:04:02,0.0,0.0,0.0,0.0,1
2019-11-15 00:04:03,0.0,0.0,0.0,0.0,1
2019-11-15 00:04:04,0.0,0.0,0.0,0.0,1
2019-11-15 00:04:05,0.0,0.0,0.0,0.0,1
2019-11-15 00:04:07,0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:04:09,-0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:04:11,0.0,0.0,0.0,0.0,1
2019-11-15 00:04:12,0.0,0.0,0.0,0.0,1
2019-11-15 00:04:14,0.0,0.0,0.0,0.0,1
2019-11-15 00:04:15,0.0,0.0,0.0,0.0,1
2019-11-15 00:04:21,0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:04:22,0.0,0.0,0.0,0.0,1
2019-11-15 00:04:26,-0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:04:27,0.0,0.0,0.0,0.0,1
2019-11-15 00:04:30,0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:04:31,-0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:04:32,0.0,0.0,0.01171875,0.01171875,0
2019-11-15 00:04:33,0.0078125,0.0,-0.01171875,0.01953125,0
2019-11-15 00:04:36,-0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:04:37,0.0,0.0,0.0,0.0,1
2019-11-15 00:04:41,0.0,0.0,0.0,0.0,1
2019-11-15 00:04:42,0.0,0.0,0.0,0.0,1
2019-11-15 00:04:43,0.0,0.0,0.0,0.0,1
2019-11-15 00:04:44,0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:04:45,-0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:04:47,0.0,0.0,0.0,0.0,1
2019-11-15 00:04:48,0.0,0.0,0.0,0.0,1
2019-11-15 00:04:50,0.0,0.0,0.0,0.0,1
2019-11-15 00:04:52,0.0,0.0,0.0,0.0,1
2019-11-15 00:04:53,0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:04:54,0.0,0.0,0.0,0.0,1
2019-11-15 00:04:55,-0.0078125,0.0,0.0,0.0078125,0
2019-11-15 00:04:57,0.0,0.0,0.0,0.0,1
2019-11-15 00:04:58,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:00,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:02,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:03,0.0,0.0,0.0,0.0,1
2019-11-15 00:05:04,0.0,0.0,0.0,0.0,1
