,time,x_1s,y_1s,z_1s
96,2019-11-15 00:01:52,0.01953125,0.0,-1.0
97,2019-11-15 00:01:53,0.01953125,0.0,-1.0
98,2019-11-15 00:01:54,0.01953125,0.0,-1.0
99,2019-11-15 00:01:57,0.01953125,0.0,-1.0
100,2019-11-15 00:01:58,0.01953125,0.0,-0.9765625
101,2019-11-15 00:01:59,0.01953125,0.0,-1.0
102,2019-11-15 00:02:00,0.01953125,0.0,-1.0
103,2019-11-15 00:02:02,0.01953125,0.0,-0.98828125
104,2019-11-15 00:02:03,0.01953125,0.0,-1.0078125
105,2019-11-15 00:02:05,0.01953125,0.0,-1.0
106,2019-11-15 00:02:06,0.01953125,0.0,-1.0
107,2019-11-15 00:02:07,0.01953125,0.0,-1.0
108,2019-11-15 00:02:09,0.01953125,0.0,-1.0
109,2019-11-15 00:02:10,0.01953125,0.0,-1.0
110,2019-11-15 00:02:11,0.01953125,0.0,-1.0
111,2019-11-15 00:02:12,0.01953125,0.0,-1.0
112,2019-11-15 00:02:13,0.01953125,0.0,-1.0
113,2019-11-15 00:02:14,0.01953125,0.0,-1.0
114,2019-11-15 00:02:16,0.01953125,0.0,-1.0
115,2019-11-15 00:02:17,0.01953125,0.0,-1.0
116,2019-11-15 00:02:18,0.01953125,0.0,-1.0
117,2019-11-15 00:02:19,0.02734375,0.0,-1.0
118,2019-11-15 00:02:20,0.02734375,0.0,-1.0078125
119,2019-11-15 00:02:22,0.01953125,0.0,-1.0
120,2019-11-15 00:02:23,0.01953125,0.0,-1.0
121,2019-11-15 00:02:24,0.01953125,0.0,-1.0
122,2019-11-15 00:02:25,0.02734375,0.0,-1.0
123,2019-11-15 00:02:26,0.01953125,0.0,-1.0
124,2019-11-15 00:02:27,0.01953125,0.0,-1.0078125
125,2019-11-15 00:02:28,0.01953125,0.0,-1.0
126,2019-11-15 00:02:31,0.02734375,0.0,-1.0
127,2019-11-15 00:02:32,0.01953125,0.0,-1.0
128,2019-11-15 00:02:33,0.01953125,0.0,-1.0
129,2019-11-15 00:02:34,0.01953125,0.0,-1.0
