,time,x_5s,y_5s,z_5s
17,2019-11-14 23:59:35,0.01953125,0.0,-1.0
20,2019-11-14 23:59:37,0.01953125,0.0,-1.0
22,2019-11-14 23:59:38,0.01953125,0.0,-1.0
25,2019-11-14 23:59:39,0.02109375,0.0,-1.0
29,2019-11-14 23:59:40,0.02109375,0.0,-1.0
36,2019-11-14 23:59:44,0.02109375,0.0,-1.0
43,2019-11-14 23:59:47,0.02109375,0.0,-0.99765625
47,2019-11-14 23:59:49,0.02109375,0.0,-0.99765625
51,2019-11-14 23:59:50,0.01953125,0.0,-0.99765625
55,2019-11-14 23:59:51,0.02109375,0.0,-0.99765625
58,2019-11-14 23:59:54,0.02265625,0.0,-0.99765625
62,2019-11-14 23:59:55,0.02265625,0.0,-1.0
68,2019-11-14 23:59:58,0.02265625,0.0,-1.0
72,2019-11-14 23:59:59,0.02265625,0.0,-1.0
76,2019-11-15 00:00:00,0.02109375,0.0,-0.99765625
80,2019-11-15 00:00:01,0.01953125,0.0,-0.99765625
82,2019-11-15 00:00:02,0.01953125,0.0,-0.99765625
84,2019-11-15 00:00:03,0.01953125,0.0,-0.99765625
87,2019-11-15 00:00:05,0.01953125,0.0,-0.99765625
89,2019-11-15 00:00:07,0.01953125,0.0,-1.0
93,2019-11-15 00:00:08,0.02109375,0.0,-1.0
96,2019-11-15 00:00:09,0.02109375,0.0,-0.99765625
101,2019-11-15 00:00:12,0.02109375,0.0,-0.99765625
103,2019-11-15 00:00:13,0.02109375,0.0,-0.99765625
106,2019-11-15 00:00:14,0.02109375,0.0,-0.99765625
110,2019-11-15 00:00:15,0.01953125,0.0,-0.99765625
112,2019-11-15 00:00:16,0.01953125,0.0,-1.0
118,2019-11-15 00:00:18,0.01953125,0.0,-1.0
122,2019-11-15 00:00:20,0.01953125,0.0,-1.0
126,2019-11-15 00:00:21,0.01953125,0.0,-1.0
129,2019-11-15 00:00:22,0.01953125,0.0,-1.0
131,2019-11-15 00:00:23,0.01953125,0.0,-1.0
134,2019-11-15 00:00:24,0.01953125,0.0,-1.0
137,2019-11-15 00:00:25,0.01953125,0.0,-1.0
141,2019-11-15 00:00:26,0.01953125,0.0,-1.0
146,2019-11-15 00:00:28,0.01953125,0.0,-1.0
149,2019-11-15 00:00:30,0.02109375,0.0,-1.0
153,2019-11-15 00:00:31,0.02265625,0.0,-1.0
157,2019-11-15 00:00:33,0.02421875,0.0,-1.0
161,2019-11-15 00:00:34,0.02421875,0.0,-1.0
165,2019-11-15 00:00:35,0.02421875,0.0,-1.0
171,2019-11-15 00:00:37,0.02265625,0.0,-1.0
177,2019-11-15 00:00:39,0.02109375,0.0,-1.0
181,2019-11-15 00:00:40,0.01953125,0.0,-1.0
189,2019-11-15 00:00:44,0.01953125,0.0,-1.0
192,2019-11-15 00:00:46,0.01953125,0.0,-1.0
195,2019-11-15 00:00:48,0.02109375,0.0,-1.0
198,2019-11-15 00:00:49,0.02109375,0.0,-1.0
202,2019-11-15 00:00:50,0.02109375,0.0,-1.0
206,2019-11-15 00:00:51,0.02109375,0.0,-1.0
212,2019-11-15 00:00:55,0.02265625,0.0,-0.99765625
216,2019-11-15 00:00:56,0.02109375,0.0,-0.99765625
220,2019-11-15 00:00:57,0.02265625,0.0,-0.99765625
224,2019-11-15 00:00:58,0.02265625,0.0,-0.99765625
227,2019-11-15 00:00:59,0.02265625,0.0,-0.99765625
231,2019-11-15 00:01:00,0.02265625,0.0,-1.0
234,2019-11-15 00:01:02,0.02265625,0.0,-1.0
237,2019-11-15 00:01:03,0.02109375,0.0,-1.0015625
240,2019-11-15 00:01:04,0.02109375,0.0,-1.0015625
245,2019-11-15 00:01:06,0.02265625,0.0,-1.0015625
248,2019-11-15 00:01:07,0.02109375,0.0,-1.0015625
252,2019-11-15 00:01:09,0.02109375,0.0,-1.0015625
257,2019-11-15 00:01:12,0.02265625,0.0,-1.0
261,2019-11-15 00:01:13,0.02265625,0.0,-1.0
267,2019-11-15 00:01:15,0.02109375,0.0,-1.0
271,2019-11-15 00:01:16,0.02109375,0.0,-1.0
275,2019-11-15 00:01:17,0.02109375,0.0,-1.0
279,2019-11-15 00:01:18,0.01953125,0.0,-1.0
282,2019-11-15 00:01:20,0.01953125,0.0,-1.0
286,2019-11-15 00:01:21,0.02109375,0.0,-1.0
289,2019-11-15 00:01:22,0.02265625,0.0,-0.99765625
293,2019-11-15 00:01:23,0.02265625,0.0,-0.99765625
297,2019-11-15 00:01:25,0.02265625,0.0,-0.99765625
301,2019-11-15 00:01:26,0.02265625,0.0,-0.99765625
305,2019-11-15 00:01:27,0.02109375,0.0,-0.99765625
309,2019-11-15 00:01:29,0.01953125,0.0,-1.0
